"filename", "language", "XML", "CSS", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"d:\projects\nextjs\mycoin\.eslintrc.json", "JSON", 0, 0, 0, 0, 3, 0, 1, 4
"d:\projects\nextjs\mycoin\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 14, 37
"d:\projects\nextjs\mycoin\components\Store\auth.js", "JavaScript", 0, 0, 32, 0, 0, 0, 7, 39
"d:\projects\nextjs\mycoin\components\Store\currency.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 15
"d:\projects\nextjs\mycoin\components\Store\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 4, 11
"d:\projects\nextjs\mycoin\components\charts\Chart.js", "JavaScript", 0, 0, 98, 0, 0, 1, 50, 149
"d:\projects\nextjs\mycoin\components\charts\ChartWrapper.js", "JavaScript", 0, 0, 47, 0, 0, 1, 19, 67
"d:\projects\nextjs\mycoin\components\charts\MyInfoTab\Tab.js", "JavaScript", 0, 0, 58, 0, 0, 11, 24, 93
"d:\projects\nextjs\mycoin\components\charts\UI\MyBottonGroup.js", "JavaScript", 0, 0, 18, 0, 0, 0, 10, 28
"d:\projects\nextjs\mycoin\components\charts\UI\changetab.js", "JavaScript", 0, 0, 62, 0, 0, 0, 16, 78
"d:\projects\nextjs\mycoin\components\coinId\PriceStatics.js", "JavaScript", 0, 0, 110, 0, 0, 2, 39, 151
"d:\projects\nextjs\mycoin\components\coinId\markets-data.js", "JavaScript", 0, 0, 67, 0, 0, 0, 16, 83
"d:\projects\nextjs\mycoin\components\coins\GlobalData.js", "JavaScript", 0, 0, 55, 0, 0, 0, 15, 70
"d:\projects\nextjs\mycoin\components\coins\coin.js", "JavaScript", 0, 0, 87, 0, 0, 0, 30, 117
"d:\projects\nextjs\mycoin\components\input\SearchInput.js", "JavaScript", 0, 0, 204, 0, 0, 2, 115, 321
"d:\projects\nextjs\mycoin\components\layout\Footer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects\nextjs\mycoin\components\layout\NavBar.js", "JavaScript", 0, 0, 136, 0, 0, 12, 61, 209
"d:\projects\nextjs\mycoin\components\layout\accountcircle.js", "JavaScript", 0, 0, 60, 0, 0, 0, 8, 68
"d:\projects\nextjs\mycoin\components\layout\layout.js", "JavaScript", 0, 0, 10, 0, 0, 0, 4, 14
"d:\projects\nextjs\mycoin\components\layout\portfolio.js", "JavaScript", 0, 0, 56, 0, 0, 0, 8, 64
"d:\projects\nextjs\mycoin\components\links\linkitem.js", "JavaScript", 0, 0, 68, 0, 0, 0, 19, 87
"d:\projects\nextjs\mycoin\components\links\links.js", "JavaScript", 0, 0, 42, 0, 0, 26, 22, 90
"d:\projects\nextjs\mycoin\components\pagination\pagination.js", "JavaScript", 0, 0, 31, 0, 0, 4, 26, 61
"d:\projects\nextjs\mycoin\components\pagination\pagination.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects\nextjs\mycoin\components\ui\coinidui\HeadCoinInfo.js", "JavaScript", 0, 0, 23, 0, 0, 0, 9, 32
"d:\projects\nextjs\mycoin\components\ui\coinidui\NumbersInfo.js", "JavaScript", 0, 0, 61, 0, 0, 25, 36, 122
"d:\projects\nextjs\mycoin\components\ui\coinidui\ProgressBar.js", "JavaScript", 0, 0, 20, 0, 0, 0, 12, 32
"d:\projects\nextjs\mycoin\components\ui\coinidui\logform\backdrop.js", "JavaScript", 0, 0, 42, 0, 0, 0, 15, 57
"d:\projects\nextjs\mycoin\components\ui\coinidui\logform\loginform.js", "JavaScript", 0, 0, 168, 0, 0, 0, 26, 194
"d:\projects\nextjs\mycoin\components\ui\coinidui\logform\signupfom.js", "JavaScript", 0, 0, 278, 0, 0, 5, 64, 347
"d:\projects\nextjs\mycoin\components\ui\coinidui\logform\signupformbackup.js", "JavaScript", 0, 0, 353, 0, 0, 94, 61, 508
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\Actions.js", "JavaScript", 0, 0, 49, 0, 0, 0, 10, 59
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\AddNewPortfolio.js", "JavaScript", 0, 0, 101, 0, 0, 2, 26, 129
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\BuyForm.js", "JavaScript", 0, 0, 151, 0, 0, 0, 41, 192
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\OnePortfolio.js", "JavaScript", 0, 0, 24, 0, 0, 2, 12, 38
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\SellForm.js", "JavaScript", 0, 0, 151, 0, 0, 0, 41, 192
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\addTransactionForm.js", "JavaScript", 0, 0, 73, 0, 0, 0, 18, 91
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\coinstable.js", "JavaScript", 0, 0, 138, 0, 0, 3, 31, 172
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\overview.js", "JavaScript", 0, 0, 21, 0, 0, 0, 2, 23
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\searchcoin.js", "JavaScript", 0, 0, 73, 0, 0, 0, 19, 92
"d:\projects\nextjs\mycoin\components\ui\coinidui\portfolios\to delelt oneportfoliobacjup.js", "JavaScript", 0, 0, 87, 0, 0, 0, 43, 130
"d:\projects\nextjs\mycoin\components\ui\coinidui\scroll.js", "JavaScript", 0, 0, 41, 0, 0, 0, 12, 53
"d:\projects\nextjs\mycoin\firebaseConfig.js", "JavaScript", 0, 0, 16, 0, 0, 7, 4, 27
"d:\projects\nextjs\mycoin\next.config.js", "JavaScript", 0, 0, 13, 0, 0, 1, 3, 17
"d:\projects\nextjs\mycoin\package-lock.json", "JSON", 0, 0, 0, 0, 9904, 0, 1, 9905
"d:\projects\nextjs\mycoin\package.json", "JSON", 0, 0, 0, 0, 37, 0, 1, 38
"d:\projects\nextjs\mycoin\pages\404.js", "JavaScript", 0, 0, 4, 0, 0, 0, 1, 5
"d:\projects\nextjs\mycoin\pages\_app.js", "JavaScript", 0, 0, 8, 0, 0, 0, 3, 11
"d:\projects\nextjs\mycoin\pages\api\AddCoinToPortfolio.js", "JavaScript", 0, 0, 8, 0, 0, 1, 8, 17
"d:\projects\nextjs\mycoin\pages\api\addTransaction.js", "JavaScript", 0, 0, 17, 0, 0, 1, 6, 24
"d:\projects\nextjs\mycoin\pages\api\addnewportfolio.js", "JavaScript", 0, 0, 19, 0, 0, 0, 9, 28
"d:\projects\nextjs\mycoin\pages\api\getallportfolios.js", "JavaScript", 0, 0, 93, 0, 0, 27, 73, 193
"d:\projects\nextjs\mycoin\pages\api\getallportfoliosBackup.js", "JavaScript", 0, 0, 93, 0, 0, 27, 73, 193
"d:\projects\nextjs\mycoin\pages\api\signUp.js", "JavaScript", 0, 0, 59, 0, 0, 5, 20, 84
"d:\projects\nextjs\mycoin\pages\api\signin.js", "JavaScript", 0, 0, 14, 0, 0, 1, 3, 18
"d:\projects\nextjs\mycoin\pages\api\test.js", "JavaScript", 0, 0, 6, 0, 0, 0, 4, 10
"d:\projects\nextjs\mycoin\pages\coin\[coinId].js", "JavaScript", 0, 0, 84, 0, 0, 40, 26, 150
"d:\projects\nextjs\mycoin\pages\index.js", "JavaScript", 0, 0, 44, 0, 0, 16, 30, 90
"d:\projects\nextjs\mycoin\pages\news\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 4, 18
"d:\projects\nextjs\mycoin\pages\nfts\index.js", "JavaScript", 0, 0, 15, 0, 0, 0, 8, 23
"d:\projects\nextjs\mycoin\pages\pagebackup.js", "JavaScript", 0, 0, 0, 0, 0, 2, 2, 4
"d:\projects\nextjs\mycoin\pages\portfolios.js", "JavaScript", 0, 0, 29, 0, 0, 0, 5, 34
"d:\projects\nextjs\mycoin\pages\portfolios_preview.js", "JavaScript", 0, 0, 79, 0, 0, 6, 53, 138
"d:\projects\nextjs\mycoin\pages\test.js", "JavaScript", 0, 0, 95, 0, 0, 47, 71, 213
"d:\projects\nextjs\mycoin\public\vercel.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 4
"d:\projects\nextjs\mycoin\styles\globals.css", "CSS", 0, 25, 0, 0, 0, 0, 4, 29
"Total", "-", 4, 25, 3824, 23, 9944, 371, 1403, 15594